nombre_producto,id_producto
ORINPURAL,75
ORIBIOTIC,76
CLAVASEPTIN 50 MG,77
PRIFINIAL SOLUCION,78
UNIVERSAL MEDICATED SHAMPOO,79
AMOXI LA.A.,80
MICOFIN,81
C.M.F.,82
ADEVITE +B,83
VITAMINA B COMPLEJO,84
OXITOCIL DOBLE,85
AQUINACE INYECTABLE 10%,86
CONVENIA,87
ADQUIN 15%,88
OSTEO-PET TABLETAS,89
ADMICIN 5%,90
NEODIP 50,91
ESTREPTO LER FORTE DEX 6 MUI,92
DEXAMETTAZONE,93
VITALER COMPLEX B,94
ESTREPTO LEF FP,95
CEFALINE 150 TABLETAS,96
TAVET,97
PRINCIPIO OXITOCICO,98
MELOXICAM 1 MG,99
DOXICICLINA 50 MG,100
HEMO TRAT,101
NITROZIL,102
DIVE-PROCAINE G,103
ENRO ATV,104
DIVE- DEXAL,105
ANGLO-MOX INY L.A,106
ACP ENBIOTIC LA,107
KORADEX,108
CEFAXIN TABS,109
DARTAMOX-CLAV TABS,110
BENROL-TABS,111
DERMAPHYNA,112
LT4PETS*,113
ACTIVE MIX,114
SULFATTAK,115
OXITODIN,116
DEXAMOX L.A.,117
ENROMAX 5%,118
ESTREPTO BIO-BENZIPÉN REFORZADO,119
ESTREPTO BIO-BENZIPÉN D REFORZADO,120
ESTREPTO BIO-BENZIPEN PLUS REFORZADO,121
AMINOTONIC,122
GENESIS TABLETAS,123
BIOXIL 7%,124
ENRO T,125
AMOX,126
CEFAMAX,127
ESPIROCARD,128
MELOXIMAX 1,129
MELOXIMAX 3,130
GORBAZOO,131
MICOTIC,132
PREDNIMAX 5,133
PREDNIMAX 20,134
BIOQUIM XPECT,135
GORBAZOO SUSPENSIÓN,136
AMOX C SUSPENSION,137
AMOX T,138
ESPIROCAD 10,139
ESPIROCARD 80,140
PETSKIN MICOTIC,141
LOPERMIX,142
ESTREPTO LPU,143
CARE MAX PUPPY,144
PARAPET'S PASTA,145
TREMAX,146
PRIME MAX,147
ZEEFOBET,148
GENT-MAX,149
BIOMOX AC,150
CEFOGARD,151
K-PECTIN,152
PET MAX GRAND,153
ZOLCIN,154
BISOLVON,155
AMINO-LITE 34X CONCENTRADO,156
METACAM 0.5 MG/ML,157
AMINOLITE 34X CONCENTRADO,158
PENTRIVET ENZIMATICO,159
PARA PARTO XX,160
KNOCK OUT,161
CASAL'S PET PERFUME PARA MASCOTAS,162
SUPERFLOX INYECTABLE 5%,163
SUPERFLOX INYECTABLE AL 10%,164
PRO-G-BENZ,165
GENTA - 100,166
FLOXIMICINA INYECTABLE 10%,167
FLUXIVET,168
KETOFEN 1%,169
ATROPINA CHEMINOVA,170
DIPIRONA CHEMINOVA,171
ENROFLOXACINO 10% CHEMINOVA,172
DIURETICO CHEMINOVA,173
CLINDAMICINA CHEMINOVA,174
XILAZINA AL 2% CHEMINOVA,175
BUTORFANOL-DOLO,176
TEAR FUNCTION CHEMINOVA,177
KUDOL 500,178
GENTAMIN,179
COLLIPEN LA,180
COLLXICLIN,181
COMAGEN 50,182
SOLDEX 50% MDKR,183
AMOXI VET PUPPY,184
DIRULÁN TABLETAS 15 MG,185
BROSÍN,186
AVERDÁN,187
OTI-SEPTIC,188
BROTROPÍN SUSPENSIÓN,189
METOPRAMID ORAL,190
CICLO,191
ADRENALINA,192
ANGESIN,193
LICOR DE FORGE,194
RANITIN VET INYECTABLE,195
PROFEN PET 20 MG,196
PROFEN,197
GRISEOFUL-PET,198
AGUA OXIGENADA,199
HEXADERM MAX SHAMPOO,200
SULFA BROM T BIOSINTESIS,201
AMPICILINA BIOMEDICA,202
COMPLEJO B BIOMEDICA,203
ESTREPTOMICINA BIOMEDICA,204
GENTAMICINA BIOMEDICA,205
MEBENDAZOL BIOMEDICA,206
OXITOCINA BIOMEDICA,207
AZUL CICATRIZANTE BIOMEDICA,208
LICUAPEN RTU BIOMEDICA,209
IXODES,210
SULFA/TRIMETOPRIM,211
TOLTRAZURIL 2.5%,212
CATOSAL CON VITAMINA B12,213
BAYTRIL SOLUCION INYECTABLE AL 5%,214
PENIMOX L.A.,215
SULFABAC,216
CATOSAL,217
KIROPRED 5,218
ENROTRYL 5%,219
TETRACOM,220
FOSFOGAN,221
ENROTRYL B,222
OFTALDIC,223
MYCODERM SPRAY,224
CEFALMED-10,225
CLINDACIN-10,226
CLINDACIN-30,227
OFTALGEN,228
CEFALMED-30,229
DEXAMETAZONA,230
STREP-PENN,231
KAOFERM,232
BROMHEXINA,233
DEXTROFERM,234
SUERO FISIOLÓGICO,235
POMADA YODADA FERMALAB,236
POMADA YODOFORMADA FERMALAB,237
HIDROCILINA,238
BRONQUIFUR,239
EXTRACTO FIORI ANTERIOR,240
GENTAM-F,241
ESTREPTOENZIMA,242
PARASITO-FIN,243
CIANO 1000,244
FIOVIT-12,245
YODESAN,246
FURAX,247
CEPHABAC 300 GV,248
CEPHABAC 600 GV,249
CEPHABAC 250 GV,250
MELOXIBAC 1 GV,251
MELOXIBAC 2.5 GV,252
MELOXIBAC 4 GV,253
CLOPRAMED GV,254
OTIBAC GV,255
CLOPRAMED INY GV,256
SULTRIPET GV,257
APPETITI TABS GV,258
PETXICAM GV,259
CEFTIOFUR GV INY,260
FLUNIXIN GV,261
COMPLEJO B GV,262
CATAPHOS GV,263
PETBAC ALLERBAC GV,264
ENDOPET PUPPY GV,265
RANITBAC GV,266
OFTALBAC G,267
OFTALBAC D,268
ENROTRYL 50 GV,269
MOXICLAV 50 GV,270
MOXICLAV 250 GV,271
MOXICLAV SP GV,272
CEPHABAC 150 GV,273
GASTROBAC 20 MG,274
PROSULFIM,275
AZUL-TIE,276
METOX,277
RANITOL,278
STREPTOGORT F,279
UTERPARTO,280
TRIMEGORT B,281
SKINCARE SHAMPOO ANTIBACTERIANO,282
VERMANTEL DESPARASITANTE PARA CACHORROS,283
FANCY PETS MEDICAL SOLUTIONS PASTA DENTAL,284
EMETIN SOLUCION INYECTABLE,285
NEUTRAC SOLUCIÓN INYECTABLE,286
HEMATOPLEX PLUS,287
RX SPECTRUM SULFAMETOXAZOL-TRIMETOPRIM,288
PRAMOXINE SHAMPOO,289
PROMOXINE MAX,290
EAR CLEAN,291
RX SPECTRUM AMOXICILINA-ACIDO CLAVULANICO,292
RX RELAXICAM,293
VERMIPLEX MAX,294
FLAGYPLEX-212,295
CLOREXIDERM,296
LASSY OATMEAL,297
PRODNI-CARE-265,298
RX HIDRODERMAL HOLLAND,299
FOLIPLEX,300
CLOREXIDERM MAX,301
OMEGADERM,302
DIARREAMICYN,303
VERMIPLEX PLUS 5,304
RX CANOPLEX CALCIO,305
PREDNISOLONA BASE 20 MG,306
ESTROMBOL,307
SHONPRO,308
CEFOXIDIN,309
ATRIBEN,310
CEFALEXINA 500 MG,311
CLORHEXIDINA GEL ANTIPLACA,312
CLORHEXIDINA SPRAY,313
GRISEOFULVINA 250 COMPRIMIDORS,314
ACEDAN GOTAS,315
VIVIRAM-V,316
RELAY-C,317
TONIPET,318
ANAVIMIN COAT,319
TOTAL FULCG PERROS Y GATOS,320
CLORHEXIDINA GOTAS OTICAS,321
DERMOXIL,322
PIRELAN INYECTABLE,323
PREDNISOLONA HOLLIDAY,324
COLIRAMA VIRAL,325
POTEN PET,326
EPITELIZANTE OCULAR HOLLIDAY,327
TERBIGERM SHAMPOO,328
RESVEFLEX-P,329
CLINDAFUR-S,330
TERBIGEM,331
ULCETRAT,332
CLINDAFUR,333
ONDENTON,334
CIS A PRID,335
MARBOREN-FLU,336
MARBEN,337
CAFEINA,338
CALCIO SUPER REFORZADO,339
LEXIFFLER-150,340
EMICHEM,341
SULFA-TRIMETOPRIM,342
IBAFLIN 3% GEL,343
IBAFLIN 7.5% GEL,344
HIPOFISINA,345
PANACUR SUSPENSION AL 2.5%,346
PANACUR PLUS TABLETAS,347
TONOFOSFAN,348
LAURABOLIN,349
COVINAN,350
CEFA-CURE,351
CEFA-CURE TABS 200 MG,352
SALIX,353
REVIMIN,354
CEFALEXINA 200,355
DEXAMETAZONA OVER,356
ANTIPULGAS,357
BONUX OTICO,358
GENTASOL-80,359
INDOVET PREED,360
DEMECAN OFTENO,361
PARACAINA,362
DORZOLAVET COMPUESTO,363
FUROSANT 50 MG,364
NUTRA-LUB VET ADVANCE,365
BUBBLE KET,366
ADRENOSTAN 10 MG,367
OTIKLIN,368
DIPIRO VET,369
SULFATRIM VET,370
ENRO-VET 5,371
OXI-VET 10,372
CANVITAL,373
VERMICELL,374
VERMICELL PLUS,375
PENICILINA G PROCAINA,376
PENICILINA G SODICA CRISTALINA,377
PENICILINA ESTREPTOMICINA,378
POMADA VERDE,379
KEOSUL,380
PIRODEX PETS,381
LAS K VIT,382
"PENICILINA OLEOSA 800,000 U.I.",383
ESTREPTOMICINA 9 MILLONES,384
"PENICILINA ACUOSA 800,000 U.I.",385
ESTREPTOMICINA 6 MILLONES,386
ESTREPTOMICINA 3 MILLONES,387
PARAFEN TABS,388
GENTEX,389
IVERFULL TABS FOR PETS,390
CLAVOXIVET SUSPENSIÓN,391
SHAMPOO SUPER ESPUMANTE PARA ANIMALES,392
SHAMPOO DE SABILA PARA CABALLO,393
FLUVIOTIC,394
ALVEUM,395
DIRO PETS PUPPY,396
DIRO PETS REFORMULADO,397
DIRO PETS INYECTABLE,398
ETI PETS,399
HEPATOPETS,400
ONSEC,401
PROPEN ACUOSO 2 MILLONES,402
PENTAMICIN OLEOSO 4 MILLONES,403
HIDROBIOTIC,404
PARAFEN SUSPENSIÓN AL 3%,405
CEFALOX PETS,406
ASTROXI 20 UI,407
NOVA-VIT B,408
ASTROQUINOL COMPUESTO,409
ULTRA OXITOCINA,410
COBAPHOS,411
CEFALAX,412
BIOPEN FORTE,413
DOLORVET,414
HIPOXITOCINA,415
VETCECLIN,416
SUERO GLUCOSADO B12,417
VITAMINA NEGRA,418
YODIMASPEN,419
MELTRA SUSPENSION CACHORROS,420
ARTRIN,421
ENRODES 10% INY,422
DEXAFIORIN,423
NORALBEN NRV 2.5%,424
COMPLEJO B K.M.,425
AZITROKIR M SUSPENSIÓN,426
AZITROKIR M 100,427
KIROGARD,428
DEXAMETHAZONE,429
KIR-ANTHEL PUPPIES,430
QUIROFLOX 5%,431
COX II MG,432
LAGRIVET,433
CALFOMAX-D,434
PEROXIBEN SHAMPOO,435
PRAMOXIDERM,436
JABON DERMATOLOGICO,437
SHAMPOO DERMATOLOGICO,438
SHAMPOO ANTISEPTICO Y DESINFECTANTE,439
SHAMPOO ANTISEPTICO Y ANTIMICOTICO,440
SOLUCIÓN DESINFECTANTE,441
TOALLITAS LIMPIADORAS DE DIENTES Y ENCIAS,442
JABON MEDICADO,443
KIRODRYL EASE,444
LAGRIVET SC,445
KETOXIN PLUS,446
KIROFTAL CICLOSPORIN,447
KIROXILINA 400,448
KIRONAZOL,449
KIL ANTHELM MAX 2.5,450
KIR-ANTHELMAX 30,451
BIOEST 3V,452
KIROSULF - T,453
COX II 2.5 MG,454
COX II 4 MG,455
KIRODERMAL JABON,456
KIRODERMAL SHAMPOO,457
KIROTIC 4L,458
N-EMESIS,459
COX II INYECTABLE,460
EYE STAIN REMOVER WIPES,461
PERFECT PET,462
REPUL '7 PIPETTES,463
KIROSEPTIC SPRAY,464
KIRANTHEL 10 GOLD,465
TOALLITAS LIMPIADORAS DE LAGRIMAS,466
KIRANTHEL 30 GOLD,467
KIRO SEPTIC COMPLETE,468
VITAMED 6500,469
TERBIGERM OTICO,470
PENBIOTIC,471
ESTREPTOPENICILINA MICROSULES,472
CREMA DE ORDOÑE,473
PRIMAXOL,474
BIOPARACIT TOPICO,475
ENRO SUSPENSIÓN,476
NORFLOX,477
IVERFULL PETS PASTA,478
ENROTRYL 10,479
MELOXIN,480
OXIBIOTIC INYECTABLE,481
ASCORBOL INYECTABLE VITAMINA B12-5000,482
TABERNIL DOXICICLINA,483
TABERNIL SULFA,484
TABERNIL CANTO,485
TABERNIL POMADA,486
QUIROFLOX,487
PLACENTANIER,488
DAWES BLUE,489
NEO BALSAMO BLANCO,490
MICROFLOX 2.5%,491
COMPLENAY ELIXIR NF,492
SOFLORAN VET,493
ENROXOL PETS 5%,494
MICROVET ANTISEPTICO,495
ABEN PUPPY SUSPENSION,496
ACTUOL,497
A.D.E. FUERTE,498
ADE Farvet,499
ADE VIT MV,500
ADEPHORTE,501
AGUAPEN D,502
AGUA OXIGENADA,503
ALBENDAROD PET,504
ALBENDAROD PET'S,505
ALBOVINO 10%,506
ALIN DEPOT,507
ALIN OFTALMICO,508
ALLERGROOM,509
ALNEX,510
AMBIBIOTICO,511
AMINO-VIT,512
AMOXI PEEK,513
AMOXI PET´S PLUS S NRV*,514
AMOXI-PETS 250 NRV,515
AMOXICLAV VET,516
AMOXIDEX,517
AMOXIN 250,518
AMPIVET,519
ANGLO-MOX INY L.A,520
ANTI-STAMIN,521
ANTIALERGOLD,522
APETIKAN SOLUCION ORAL,523
APETIKAN TABS,524
APODERM,525
ARSENO CALCIO,526
ARTROPINA 10.1 NRV OFTALMICA,527
ATENO PET'S S NRV 2.0 MG,528
ATENO PET'S S NRV 5.0 MG,529
ASTROXI 20 UI,530
AXIL-200,531
AZITROMI PET´S PLUS M NRV,532
AZITROMI PET´S PLUS S NRV*,533
"AZITROMI PET´S NRV ""M"" TABLETAS",534
AZITROPETS M 100,535
BALSAMO BLANCO RODRUILAB,536
BALSAMO JADE,537
BALSAMO VETERINARIO DEL TIGRE / LINIMENTO,538
B-PLEX 909,539
BEDOVIT 12,540
BENCIPENESTREP,541
BENDAVAL PLUS SUSPENSION,542
BIOARSENOL VITAMINADO,543
BIO PET,544
BOPLATEX VET,545
BROMHEXIN,546
BROMUCOL,547
BROTHOL,548
CALCIOVET VITAMINADO,549
CAL-PRIME NRV,550
C.E.T.,551
C.E.T. KIT,552
CEFAMAX SUSPENSIÓN,553
CEPHAPET 250,554
CEPHAPET 600,555
CEPHATABS 300,556
CEPHATABS 600,557
CELESPORIN COMPRIMIDOS 150 MG,558
CEFTRIA PET'S NRV INYECTABLE,559
CHORULON,560
CICLO,561
CICLOTIL GOTAS,562
"CISA PET´S NRV ""L""",563
CLAMOXICAN,564
CLAMOXIL 20 NRV,565
CLAMOXIL 40 NRV,566
CLAXIM,567
CLAXIN,568
CLAXIN-10,569
CLEAN OTIC NRV*,570
CLINDACIN 10,571
CLINDA PET´S NRV* SOLUCIÓN ORAL,572
CLINDAMAX,573
CLORANFENI PET'S NR,574
CLOREXIVET SHAMPOO,575
CLORHEXIDIN JABON,576
CLORHEXIDINA GOTAS OTICAS,577
CLORHEXIN SPRAY,578
CLOZEPAXEL 100,579
COCCIMAX M,580
COMBICILIN,581
COMFORTIS,582
COMPLE B FORTE,583
COMPLE B SUPER,584
COMPLEJO B VETERINARIO,585
COMPLET PLUS M NRV SUSPENSION,586
COMPLET PLUS SP NRV SUSPENSION,587
CONDROMAX PET,588
convenia®,589
COTHIVET,590
CRIVOSIN VET,591
DAMAX,592
DAMAX 11,593
DAMAX INYECTABLE,594
DELTAMEC,595
DEMECAN OFTENO,596
DENKAVIT FÓSFORO + B12,597
DERMAFLAM,598
DERMASOL NRV,599
DERMATYL JABON,600
DERMATYL SHAMPOO,601
DERMISAN SHAMPOO,602
DERMISAN-10,603
DEXAFLAM,604
DEXALONG FORTE,605
DEXAN-2,606
DEXHAAL 2,607
DEXTRIN,608
DEXTROSA L.A.,609
DIARREAMICYN,610
DICLOFEN HALVET,611
DICLO PET´S NRV,612
DICLO PET´S NRV* TABLETAS,613
DICLO PET'S NRV L TABLETAS,614
DICLO PET'S NRV M TABLETAS,615
DICLOVET OFTALMICO,616
DICLOVET PETS,617
DICLOVET TABS,618
DIHIDROVEST G 500,619
DIPIRONAROD,620
DISOFEN 3.75%,621
DIVE-PROCAINE G,622
DOLO-VET TABLETAS,623
DOLOSAN,624
DOLO PET TABS,625
DORMI-XYL2,626
DORZOLAVET COMPUESTO,627
DOXI JET NRV 100,628
DOXI JET NRV 200,629
DOXI JET NRV SOLUCION INYECTABLE,630
DOXI JET NRV* SOLUCION INYECTABLE,631
"DOXI PET´S ""M"" NRV",632
DOXIPETS 100,633
DOXIPETS 400,634
DURALAGRIMA,635
DYSCURAL PVE,636
ELECTROPET,637
ELECTROVITA,638
ELITOVIT,639
EMETIN INYECTABLE,640
EMETIN ORAL,641
EMICHEM,642
ENERGON ADE,643
ENDOVET CES TABLETAS,644
ENDOVET TABLETAS,645
ENROCILINA,646
ENRODAW PET 150 MG,647
ENRODAW PET 50 MG,648
ENROFLOXACINA SANFER 10%,649
ENROL 150,650
ENROL CON DIPIRONA,651
ENROL TABLETAS,652
ENRO PET 5%,653
ENRO-TABS SOFT,654
ENROXIL,655
EPITELIZANTE OCULAR HOLLIDAY,656
"EQUI PEN, S.S.",657
ESCUDERM JABON,658
ESCUDERM SHAMPOO,659
ESCUDERM TABLETAS,660
ES MODIFICACIÓN,661
"ESTA MAL INGRESADOS, SON ACTUALIZACIONES",662
ESTOMACYN,663
ESTREPTO BIO-BENZIPÉN PLUS REFORZADO,664
ESTREPTO DEXABENCIL 1.25+1.25,665
ESTREPTO DEXABENCIL 5+5,666
ESTREPTO LER FORTE DEX 6 MUI,667
ESTROMBOL,668
EXPUL-JET 20 NRV,669
FENBENDA PET'S NRV,670
FENIBAC,671
FERRITON,672
FILPROX,673
FIPROPETS,674
FIPROSULES SPRAY,675
FISIO ANTI OLOR,676
FLEXADIN,677
FLOXAPANA,678
FLOXAPANA 10%,679
FLOXIBREM 10%,680
FLODEX PET,681
"FLUCONA PET´S ""M"" NRV",682
FLUCOFEX,683
FLUCOFEX 125,684
FLUMIVET - 80,685
FLUPEN,686
FOSFO JET TONIC NRV,687
FURACINE NF,688
GANAMIC,689
GENTALEN 100,690
GENTALEX FUERTE 100,691
GENTAMAX 50,692
GENTAMICINA BIOMEDICA,693
GENTADEX,694
GENTOFTAL OFTALMICO,695
GENTANAZOL SPRAY,696
GERIOOX,697
GIARDICOX NRV,698
GIARDI PETS PLUS AMARILLO,699
GIARDI PET'S PLUS SUSPENSIÓN,700
GLOBUSTYL,701
GLUCONDRO PET'S NRV,702
GOTIKAS,703
HEMATOFOS B12,704
Hemoflor plus,705
HEXIDIN PET'S NRV,706
HIALUVISC VET,707
HIDRO-PEN,708
HIDRO-PROST,709
HISTAVET,710
IBAFLIN 7.5% GEL,711
IMIDOFIN TABLETAS,712
IMIDOX 120,713
INMUNI PET´S NRV* TABLETAS,714
INDOVET PREED,715
ITRACONA PETS 20 NRV,716
"ITRACONA PET'S ""M"" NRV",717
IVERLAB DOG,718
KAOFIN,719
KAOPHORTE,720
KETOCHLOR,721
KETOCONA PET´S L NRV*,722
KETOCONA PETS XXL NRV,723
KETOXIDERM,724
KETO PET'S NRV L,725
KETO PET'S NRV M,726
KETO PET'S NRV XL,727
KETO PET'S NRV XXL,728
KEXINE 140,729
KEXINE 270,730
KEXINE 560,731
KIROFTAL CICLOSPORIN,732
KIROSULF - T,733
KONAVET,734
K-PECTIN,735
LABYDERM BIOFORCE,736
LAGRIVET,737
L-ETICINA,738
LEPIPEN SP,739
LEVIVET,740
LEVIVET ORAL,741
LIDOCAINA,742
LIMPER,743
LOPATOL POUR ON,744
MACRO CAL,745
MAMIDAW,746
MAMI-JET NRV,747
MANIZZANT UNGÜENTO NRV,748
MARBO PET'S M NRV,749
MARBO PET'S NRV,750
MEBENDAVEDI 2 %,751
MEDICICLINA 50,752
MEGLUXYN-V,753
MELOCAXYL IV,754
MELOCAXYL TABLETAS,755
MELOXIFIN 0.5 MG,756
MELOXIFIN PREMIUM 0.5 MG,757
MELOXIVET 1 mg,758
MELOXIVET 2.5 mg,759
MELOXIVET 4 mg,760
MELOXIVET PET,761
MELOXIVET SUSPENSIÓN,762
META-FUSOL,763
METRONID,764
METRONID IV,765
METROXAL SUSPENSION XL,766
MICOFIN,767
MICOFIN TABLETAS,768
MICODERM NRV*,769
MICROFLOX 150,770
MICROFLOX 50,771
MIDOXAL SUSPENSION,772
MIOCEM,773
MIXODAL INYECTABLE,774
MUCODILAT,775
MUCO-PEEK,776
MYCODERM SPRAY,777
NEO-KAOLIN NRV,778
NEOGEN FUERTE,779
NEOPOLI PET´S NRV,780
NEOPIRONA,781
NEUTRAC,782
NEUTRAC INYECTABLE,783
NEUTRAC TABLETAS,784
NIDAZOL 250,785
NIDAZOL IV,786
OFTALDIC,787
OMEPRA,788
ONDRA JET 1 NRV,789
ONDRA JET 4 NRV,790
ONRITI JET NRV,791
OSO-PET´S NRV,792
OTIC NRV*,793
OTI-PET´S NRV,794
OTI-SEPTIC,795
OTISAN,796
OXI 100,797
OXITETRACICLINA SANFER,798
OXITOCINA HESS,799
OXITOCIN INY 40,800
OXITOFARM 200,801
PANAMICINA L.A.,802
PARASTIN PUPPY,803
PARFAVIT B12 5500,804
PARMIKACINA,805
PARTO UP,806
PATROX,807
PECAMPLIN,808
PECFLOXIN 20%,809
PECCILIN,810
PENBACORT,811
PENBALEX AQUA,812
PENDIBEN L-A 20 MUI,813
PENICILINA G PROCAINA OLEOSA,814
PENICILINA G PROCAINA OLEOSA 4 MILLONES,815
PENICILINA PROCAINA,816
PENOL ENZIMATICO,817
PENTA-HYPNOL,818
PEROXIBEN PET´S NRV,819
PEROXIBEN PLUS NRV,820
PET BEAUTY SPRAY ANTIPULGAS (ES ACTUALIZACION),821
PETZURIL SUSPENSIÓN,822
PHARMOTIL,823
PHOS B12 MAX,824
PIROXIGEL NRV*,825
PISACAINA 2% CON EPINEFRINA VET,826
PISADOL 20,827
PISADOL 50,828
PLACENTANIER,829
POMADA YODOFORMADA,830
POXINA FORTE,831
PRAMOTIL VET,832
PREDNI PET´S NRV TABPLETAS,833
PREDNI PET'S NRV TABLETAS XL,834
PREDNISOLONA HOLLIDAY,835
PREDOFTAL,836
PRENDI PET'S NRV,837
PROCIN,838
PROFURAN SHAMPOO,839
PROGESTYN A-E,840
PROMAZIN GOTAS,841
PROMAZIN TABS,842
PROTECTO L NRV,843
PROTECTO M NRV,844
PROTECTO S NRV,845
PROTECTO XL NRV,846
PROTOZOL-S,847
QUIMIGEN,848
QUIMIGEN 100,849
QUIMIGEN F,850
QUIMIPIRONA,851
QUINOTRAT TABS (25 MG),852
RANIPETS ORAL,853
RANIPETS TABS,854
RANIPHORTE,855
RANISEN PET,856
RANISEN PET SOLUCION ORAL,857
RANITI PET'S NRV SOLUCION ORAL,858
RANULIN VET,859
REDDY JARABE VET,860
RELACUM VET,861
RESPAIRE TABLETAS,862
RESPIVET,863
RESULVET TABLETAS,864
REUGOL GEL,865
RILEXINE 300 PALATABLE,866
RX SPECTRUM SULFAMETOXAZOL-TRIMETOPRIM,867
SAFE-CURE SUSPENSION AL 12.5%,868
SECREDIAR,869
SEDALPHARMA,870
SEDALPHORTE,871
SENTOPRIM-S,872
SEPTAMOX T 200,873
SEVERIN INYECTABLE,874
SEVERIN NF S,875
SHOTAPEN L.A.,876
SILKY,877
SILVERMEC,878
SOLDRIN CLEAR,879
SOLDRIN OFTALMICO VET,880
SOLUCION CS 7.5%,881
SOLUCION CS PISA,882
SOLUCION HT PISA,883
SOLUCION DE VITAMINA COMPLEJO B,884
SOSTÉN CG ORAL,885
STAMIN-ATOM,886
SUERO GLUCOSADO AL 50%,887
SULFATRIMPHORTE,888
SULFATRIM PET´S 40,889
SULFAVET TABS,890
SULFA/TRIMETOPRIM,891
SUPER FLUMI-STREP AAA REFORZADO,892
SUPPRESTARAL INYECTABLE,893
TACROLIMUS TOPIC NRV,894
TAVET,895
"TERBINAFIN PET´S NRV ""M""",896
TETRABIOCIL,897
TIROXIN,898
TISURI-D,899
TOBRA OTIC NRV,900
TOBRA PET´S DEXA OFTÁLMICO NRV*,901
TOALLITAS LIMPIADORAS DE DIENTES Y ENCÍAS,902
TOLTRAZOL,903
TOLTRAVEY,904
TOPIVET,905
TRATADEX,906
TRISUL-C,907
UNGÜENTO PONIVITT,908
UNGÜENTO VETERINARIO DE LA TIA,909
VEDICAÍNA 2%,910
VEDICICLINA,911
VEDIPEN,912
VEDIPEN PLUS,913
VERMIPET-EX,914
VETPRO DERMACARE MICONAZOLE + CLORHEXIDINE,915
VETPRO DERMACARE OTIC CLEANSER,916
VEZOOPRIM,917
VIOGEL,918
VITA JET B1 NRV,919
VITAMINTHE REFORZADO,920
VITAMINA B-12 300,921
VITAMINVOLT ADE,922
VITAMIN B1,923
VODEXAT,924
VODEXAT FLUT,925
VOLTIGENT,926
VOMI PET´S NRV*,927
VOMI-PEEK,928
VOT B12 CIANOCOBALAMINA INYECCION 5000mcg/ml,929
VIT B12 CIANOCOBALAMINA INYECCION 3000mcg/mg,930
WELLCAP #2,931
WYLY FLOXACINA 10%,932
WYLYTETRA,933
XELAMEC SPOT ON,934
XILOCAM,935
YODIMASPEN,936
ZOLETIL 100,937
ZOPOL GRIN,938
ZULCICLINA 5%,939
Zitrocox-2 50 mg,940
